RegistrationId,Program,Year,TravelMinutes,Channel,Attended
1070,Concert,3,10,SNS,x
1071,Maker,4,10,Poster,x
1072,Maker,1,75,,o
1073,EscapeRoom,3,,Friend,o
1074,Concert,3,15,Poster,o
1075,EscapeRoom,3,15,Friend,x
1076,Game,1,40,SNS,x
1077,Concert,1,10,Poster,x
1078,EscapeRoom,3,40,Poster,x
1079,EscapeRoom,4,90,Friend,o
1080,Maker,1,30,Poster,o
1081,Concert,3,40,Poster,x
1082,Concert,3,90,Friend,o
1083,Concert,3,20,Friend,x
1084,Concert,4,20,Poster,o
1085,Concert,2,40,Poster,x
1086,EscapeRoom,3,,SNS,x
1087,EscapeRoom,2,15,SNS,o
1088,Concert,2,50,,o
1089,EscapeRoom,4,15,Poster,o
1090,Concert,3,60,Friend,x
1091,Concert,3,25,Poster,o
1092,EscapeRoom,4,60,SNS,o
1093,Maker,3,60,Poster,o
1094,Game,2,,Poster,x
1095,Maker,2,40,Poster,o
1096,Concert,2,15,SNS,o
1097,Maker,1,25,SNS,o
1098,Concert,4,40,Poster,o
1099,EscapeRoom,2,20,Poster,o
1100,Maker,1,30,Friend,o
1101,Concert,3,90,Poster,o
1102,EscapeRoom,1,90,Friend,o
1103,EscapeRoom,4,30,Friend,o
1104,Concert,4,90,,o
1105,Game,2,10,Poster,o
1106,EscapeRoom,1,60,Friend,o
1107,EscapeRoom,4,40,Friend,o
1108,Game,3,40,Poster,o
1109,Game,2,20,SNS,o
1110,Game,4,,Poster,o
1111,Concert,2,90,SNS,x
1112,Game,1,15,Poster,o
1113,Concert,1,25,SNS,x
1114,Concert,3,15,Friend,o
1115,Concert,3,15,SNS,o
1116,Concert,3,60,SNS,x
1117,Concert,3,,Friend,x
1118,Concert,4,25,Friend,o
1119,Game,1,75,SNS,o
1120,EscapeRoom,1,40,,o
1121,EscapeRoom,4,20,SNS,o
1122,Concert,3,75,SNS,x
1123,Game,2,50,Poster,o
1124,Concert,3,15,Friend,o
1125,Game,1,25,Poster,x
1126,Concert,2,60,Poster,x
1127,Concert,2,10,Poster,x
1128,EscapeRoom,1,,Poster,x
1129,Concert,3,15,SNS,o
1130,Maker,1,10,SNS,x
1131,Maker,3,25,Friend,o
1132,Concert,1,75,SNS,o
1133,Concert,4,75,Friend,o
1134,Game,2,30,SNS,x
1135,Concert,1,30,SNS,x
1136,Concert,1,40,,x
1137,Maker,2,10,SNS,o
1138,Game,2,90,Poster,x
1139,EscapeRoom,1,,Poster,o
1140,Maker,4,15,Friend,o
1141,Game,2,60,Poster,x
1142,EscapeRoom,4,30,Friend,o
1143,Concert,1,30,SNS,x
1144,Concert,4,50,SNS,x
1145,Concert,4,25,Poster,x
1146,EscapeRoom,3,25,SNS,o
1147,Maker,2,25,Friend,o
1148,EscapeRoom,3,75,Friend,o
1149,Concert,2,25,SNS,x
1150,Concert,4,40,Friend,o
1151,Maker,1,90,Friend,o
1152,Concert,4,,,o
1153,Concert,4,20,SNS,o
1154,EscapeRoom,3,50,SNS,x
1155,Concert,1,25,SNS,x
1156,EscapeRoom,1,10,Poster,o
1157,Maker,4,75,Poster,x
1158,Game,2,75,Friend,o
1159,Maker,3,50,Friend,x
1160,EscapeRoom,2,60,Poster,o
1161,Maker,2,40,Poster,o
1162,Game,4,40,Poster,x
1163,Maker,3,40,Friend,o
1164,Concert,1,60,Friend,o
1165,Concert,4,25,Poster,o
1166,Concert,2,10,Poster,o
1167,Concert,3,,Poster,o
1168,Concert,2,25,,o
1169,Game,4,25,SNS,o
1170,Maker,2,10,Poster,o
1171,EscapeRoom,4,50,Friend,o
1172,Maker,3,75,Friend,x
1173,Concert,1,75,Poster,o
1174,Concert,3,40,SNS,o
1175,EscapeRoom,4,50,SNS,o
1176,Concert,4,,SNS,o
1177,Maker,3,40,SNS,o
1178,Concert,1,10,Poster,o
1179,Maker,4,10,SNS,o
1180,Game,3,60,SNS,o
1181,EscapeRoom,3,75,Friend,o
1182,EscapeRoom,1,50,SNS,o
1183,Game,4,75,Friend,x
1184,Maker,1,30,,o
1185,EscapeRoom,1,,SNS,o
1186,EscapeRoom,2,50,Poster,o
1187,Concert,3,20,Friend,o
1188,Concert,3,40,SNS,o
1189,EscapeRoom,3,50,Friend,o
1190,Concert,2,25,SNS,o
1191,EscapeRoom,4,60,Poster,o
1192,Maker,2,40,Poster,o
1193,Concert,1,15,Poster,x
1194,Concert,3,50,Friend,o
1195,Maker,1,15,Poster,o
1196,Concert,1,,Friend,o
1197,Concert,4,15,SNS,o
1198,Concert,3,10,Friend,x
1199,Maker,3,30,Friend,o
1200,Maker,4,30,Friend,o
1001,EscapeRoom,2,10,SNS,o
1024,Concert,4,20,,o
1058,Game,4,,SNS,o
1101,Concert,3,90,Poster,o
1152,Concert,4,,,o
